title,label
National Federation of Independent Business,1
comments in Fayetteville NC,1
"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",1
Democratic Leaders Say House Democrats Are United Against GOP Default Act,1
"Budget of the United States Government, FY 2008",1
Donald Trump exaggerates when he says China has 'total control' over North Korea,1
25th Amendment,1
子供たちのコト。私のコト。,1
"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",1
A Solar Grand Plan: Scientific American,1
Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,1
"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",1
Political TV Ad Archive » PolAd,1
Bureau of Labor Statistics Data,1
Summary of the Affordable Care Act,1
'This Week' Transcript: Holder and Giuliani,1
Impeachment Talk Becomes a Cynical Game,1
Preventing the Flu: Good Health Habits Can Help Stop Germs,1
Las Vegas campaign rally,1
MoveOn.org Political Action: 10 things to know about McCain,1
Rand Paul Campaigns in Iowa for Miller-Meeks,1
Hispanic Populations Share of Wealth Likely to Increase by 2025,1
Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,1
Already a lost decade: Working-age household income down more than 10% since 2000,1
U.S. Senate: Supreme Court Nominations: present-1789,1
PolitiFact’s annotated transcript of the second presidential debate,1
Obamas comments on capandtrade costs,1
Des Moines Register,1
The Tonight Show with Jay Leno,1
'This Week' Transcript: Pelosi and Gates,1
Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,1
Joint DHS and ODNI Election Security Statement,1
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,1
Palin-Huey,1
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",1
"No, We Can’t? Or Won’t?",1
Barack Obama’s Remarks in St. Paul,1
letter to Chaffetz and Cummings,1
The Arena - Politico's daily debate with policymakers and opinion shapers,1
The Economic Burden Caused by Tax Code Complexity,1
McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,1
"To young people who are undocumented: This is your country, too.",1
Transcript of AP interview with Trump,1
Change We Can Believe In,1
Infrastructure Report Card 2005,1
"GOP Task Force, Lone Democrat Eye Trafficking Law",1
Dr. James Dobson,1
McCain: McSame as Bush,1
john.he.is,1
Remarks on counterterrorism at Stanford University,1
iQ media Clip Player,1
Remarks by the President on Increasing Oversight on Manipulation in Oil Markets,1
U.S. Army's Involvement in Motorsports,1
"UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States",1
Watch a replay of Fox News' 5 p.m. presidential debate,1
It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,1
"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z""",1
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,1
Births: Preliminary Data for 2005,1
Congress: Job Ratings,1
"Before leaving governor’s office in 2006, Mitt Romney’s staff eliminated e-mail records",1
"Transcript: The Democratic debate in Milwaukee, annotated",1
"Crist has experience to be vice president, McCain says",1
Strong Words in Ohio as Obama and Clinton Press On,1
LexisNexis(R) Publisher,1
“Dictionary” on President Obama’s Health Care Taxes,1
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,1
Gross Domestic Product Percent change from preceding period,1
Who Benefits from President Trump’s Child Care Proposals,1
Organizing for Action,1
2008 Presidential Election,1
The Return of the Viral Email,1
'This Week' Transcript: Rep. Paul Ryan,1
International Energy Statistics,1
Interview with Sen John McCain,1
Obama campaign radio ad,1
Remarks by the President on a New Strategy for Afghanistan and Pakistan,1
"At Trump hotel site, immigrant workers wary",1
"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",1
Candidate Comparison,1
Political TV Ad Archive » PolAd,1
Ted Cruz' Full 'Meet the Press' Interview,1
"""New Energy"" Ad",1
Session Law,1
Interview with Rudy Giuliani,1
"'This Week' Transcript: McKay, Napolitano, Salazar and Allen",1
Missing Teen-Ager Found in New Jersey,1
Full text: Jeff Flake on Trump speech transcript,1
